to_hop_thi,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,ma_nganh,j_nganh,ma_nhom,i_trong_nganh
D01,8.2,,6.4,7.5,,,,,,,ttth,7220201,0,8,0
D01,8.2,,6.2,7.5,,,,,,,ttth,7220201,0,8,1
D01,7.5,,8.4,8.8,,,,,,,ttth,7220201,0,8,2
D01,6.4,,8.2,7.75,,,,,,,ttth,7220201,0,8,3
A01,,,7.2,6.5,,,,7.8,,,ttth,7220201,0,8,4
D01,7.75,,8.4,7.6,,,,,,,ttth,7220201,0,8,5
D01,8.25,,8.0,7.2,,,,,,,ttth,7220201,0,8,6
D09,,,7.4,8.0,,,8.4,,,,ttth,7220201,0,8,7
D01,7.5,,8.8,7.0,,,,,,,ttth,7220201,0,8,8
D01,7.6,,7.6,8.0,,,,,,,ttth,7220201,0,8,9
D09,,,6.2,7.75,,,7.6,,,,ttth,7220201,0,8,10
D01,7.4,,8.6,7.0,,,,,,,ttth,7220201,0,8,11
D01,7.6,,6.2,8.75,,,,,,,ttth,7220201,0,8,12
D01,8.0,,7.2,8.25,,,,,,,ttth,7220201,0,8,13
D01,8.5,,8.0,7.6,,,,,,,ttth,7220201,0,8,14
D01,7.0,,6.8,7.5,,,,,,,ttth,7220201,0,8,15
A01,,,7.8,8.2,,,,7.25,,,ttth,7220201,0,8,16
D01,8.6,,7.0,7.5,,,,,,,ttth,7220201,0,8,17
D09,,,8.0,7.5,,,8.6,,,,ttth,7220201,0,8,18
D01,7.5,,8.2,8.0,,,,,,,ttth,7220201,0,8,19
D01,7.0,,7.4,7.75,,,,,,,ttth,7220201,0,8,20
D01,8.0,,6.4,7.25,,,,,,,ttth,7220201,0,8,21
D01,7.5,,8.6,7.4,,,,,,,ttth,7220201,0,8,22
D01,9.0,,6.2,7.0,,,,,,,ttth,7220201,0,8,23
D01,7.75,,9.0,7.2,,,,,,,ttth,7220201,0,8,24
D01,8.6,,7.4,7.75,,,,,,,ttth,7220201,0,8,25
D01,9.0,,7.2,7.5,,,,,,,ttth,7220201,0,8,26
D09,,,7.6,9.5,,,7.2,,,,ttth,7220201,0,8,27
A01,,,8.2,7.8,,,,7.25,,,ttth,7220201,0,8,28
A01,,,9.0,8.4,,,,6.75,,,ttth,7220201,0,8,29
D01,8.0,,7.4,8.0,,,,,,,ttth,7220201,0,8,30
D01,7.25,,7.2,8.4,,,,,,,ttth,7220201,0,8,31
D01,7.4,,7.0,7.25,,,,,,,ttth,7220201,0,8,32
D01,7.25,,9.0,8.0,,,,,,,ttth,7220201,0,8,33
D01,7.0,,9.6,7.6,,,,,,,ttth,7220201,0,8,34
D01,7.75,,8.2,8.2,,,,,,,ttth,7220201,0,8,35
D01,6.0,,8.8,8.2,,,,,,,ttth,7220201,0,8,36
A01,,,9.0,8.2,,,,7.75,,,ttth,7220201,0,8,37
D01,7.8,,7.4,7.5,,,,,,,ttth,7220201,0,8,38
A01,,,9.0,8.0,,,,7.5,,,ttth,7220201,0,8,39
D01,7.75,,7.4,7.6,,,,,,,ttth,7220201,0,8,40
D01,6.5,,8.8,8.0,,,,,,,ttth,7220201,0,8,41
D01,7.4,,7.6,6.75,,,,,,,ttth,7220201,0,8,42
D01,8.0,,8.8,7.0,,,,,,,ttth,7220201,0,8,43
D01,7.75,,8.6,8.0,,,,,,,ttth,7220201,0,8,44
A01,,,8.8,8.4,,,,6.75,,,ttth,7220201,0,8,45
D09,,,7.6,7.5,,,7.8,,,,ttth,7220201,0,8,46
D01,8.4,,7.0,7.25,,,,,,,ttth,7220201,0,8,47
D01,7.25,,7.6,8.0,,,,,,,ttth,7220201,0,8,48
D01,7.75,,8.8,8.0,,,,,,,ttth,7220201,0,8,49
D01,8.0,,7.0,8.0,,,,,,,ttth,7220201,0,8,50
D01,8.5,,7.2,8.0,,,,,,,ttth,7220201,0,8,51
D01,6.25,,9.4,7.6,,,,,,,ttth,7220201,0,8,52
D09,,,7.8,7.75,,,7.6,,,,ttth,7220201,0,8,53
D01,8.25,,8.6,6.6,,,,,,,ttth,7220201,0,8,54
D01,7.75,,8.8,7.2,,,,,,,ttth,7220201,0,8,55
D01,8.5,,9.2,6.4,,,,,,,ttth,7220201,0,8,56
D01,7.0,,6.8,7.0,,,,,,,ttth,7220201,0,8,57
A01,,,8.2,8.5,,,,8.0,,,ttth,7220201,0,8,58
D01,7.0,,6.6,7.5,,,,,,,ttth,7220201,0,8,59
A01,,,8.2,7.0,,,,7.4,,,ttth,7220201,0,8,60
D09,,,6.6,8.0,,,7.6,,,,ttth,7220201,0,8,61
D09,,,7.4,8.25,,,7.6,,,,ttth,7220201,0,8,62
D01,8.75,,8.8,7.2,,,,,,,ttth,7220201,0,8,63
D01,7.25,,9.0,8.4,,,,,,,ttth,7220201,0,8,64
A01,,,7.2,7.75,,,,6.0,,,ttth,7220201,0,8,65
D01,6.25,,9.4,8.0,,,,,,,ttth,7220201,0,8,66
D01,6.75,,9.0,7.8,,,,,,,ttth,7220201,0,8,67
D01,7.2,,6.8,6.75,,,,,,,ttth,7220201,0,8,68
D01,7.0,,9.6,7.4,,,,,,,ttth,7220201,0,8,69
A01,,,7.8,8.0,,,,8.0,,,ttth,7220201,0,8,70
A01,,,7.8,8.0,,,,6.6,,,ttth,7220201,0,8,71
D01,7.0,,10.0,7.6,,,,,,,ttth,7220201,0,8,72
A01,,,7.6,9.0,,,,7.75,,,ttth,7220201,0,8,73
D01,8.8,,7.0,6.25,,,,,,,ttth,7220201,0,8,74
D01,7.8,,7.0,6.75,,,,,,,ttth,7220201,0,8,75
D01,7.8,,7.0,6.0,,,,,,,ttth,7220201,0,8,76
A01,,,9.0,8.0,,,,8.0,,,ttth,7220201,0,8,77
D01,6.4,,7.0,7.75,,,,,,,ttth,7220201,0,8,78
D01,8.4,,6.8,7.0,,,,,,,ttth,7220201,0,8,79
D01,6.8,,7.0,8.0,,,,,,,ttth,7220201,0,8,80
D01,6.8,,7.2,7.25,,,,,,,ttth,7220201,0,8,81
A01,,,6.2,6.0,,,,9.2,,,ttth,7220201,0,8,82
D01,8.5,,7.4,7.6,,,,,,,ttth,7220201,0,8,83
A01,,,8.8,7.75,,,,8.8,,,ttth,7220201,0,8,84
D01,7.75,,8.4,8.8,,,,,,,ttth,7220201,0,8,85
D01,7.5,,8.8,7.0,,,,,,,ttth,7220201,0,8,86
D09,,,7.8,7.75,,,8.0,,,,ttth,7220201,0,8,87
D01,7.8,,7.6,8.0,,,,,,,ttth,7220201,0,8,88
D01,7.25,,9.0,7.6,,,,,,,ttth,7220201,0,8,89
D01,7.4,,7.4,7.0,,,,,,,ttth,7220201,0,8,90
D01,7.0,,8.6,8.0,,,,,,,ttth,7220201,0,8,91
D01,7.5,,8.0,7.8,,,,,,,ttth,7220201,0,8,92
D01,6.0,,7.6,7.5,,,,,,,ttth,7220201,0,8,93
D01,7.25,,9.0,8.2,,,,,,,ttth,7220201,0,8,94
D01,8.0,,9.4,8.2,,,,,,,ttth,7220201,0,8,95
D01,8.8,,7.0,7.75,,,,,,,ttth,7220201,0,8,96
A01,,,7.6,7.5,,,,8.4,,,ttth,7220201,0,8,97
D01,7.75,,8.2,7.4,,,,,,,ttth,7220201,0,8,98
D01,8.5,,7.2,7.2,,,,,,,ttth,7220201,0,8,99
D01,6.0,,6.6,8.75,,,,,,,ttth,7220201,0,8,100
D09,,,6.8,8.0,,,6.2,,,,ttth,7220201,0,8,101
D01,8.2,,8.0,7.25,,,,,,,ttth,7220201,0,8,102
D01,7.75,,9.0,6.8,,,,,,,ttth,7220201,0,8,103
A01,,,7.6,8.2,,,,7.5,,,ttth,7220201,0,8,104
D01,8.75,,8.0,8.2,,,,,,,ttth,7220201,0,8,105
D09,,,5.6,8.25,,,9.0,,,,ttth,7220201,0,8,106
D01,7.25,,9.2,7.6,,,,,,,ttth,7220201,0,8,107
D01,7.0,,9.4,7.6,,,,,,,ttth,7220201,0,8,108
D01,7.5,,9.0,7.4,,,,,,,ttth,7220201,0,8,109
A01,,,8.8,8.0,,,,7.25,,,ttth,7220201,0,8,110
D09,,,6.4,8.25,,,7.6,,,,ttth,7220201,0,8,111
D01,7.5,,9.0,7.4,,,,,,,ttth,7220201,0,8,112
D09,,,7.6,7.75,,,9.2,,,,ttth,7220201,0,8,113
D01,7.0,,7.6,7.5,,,,,,,ttth,7220201,0,8,114
D01,8.6,,8.0,7.5,,,,,,,ttth,7220201,0,8,115
D01,8.5,,8.6,7.2,,,,,,,ttth,7220201,0,8,116
D01,8.0,,6.8,7.25,,,,,,,ttth,7220201,0,8,117
A01,,,8.2,7.25,,,,8.8,,,ttth,7220201,0,8,118
D01,8.0,,8.8,7.2,,,,,,,ttth,7220201,0,8,119
D01,7.2,,7.0,8.5,,,,,,,ttth,7220204,1,8,0
D01,7.6,,7.4,8.25,,,,,,,ttth,7220204,1,8,1
D01,6.6,,7.2,8.25,,,,,,,ttth,7220204,1,8,2
D01,6.8,,6.6,7.25,,,,,,,ttth,7220204,1,8,3
D01,8.2,,8.0,7.25,,,,,,,ttth,7220204,1,8,4
D01,9.25,,8.2,7.4,,,,,,,ttth,7220204,1,8,5
D01,7.5,,8.4,7.0,,,,,,,ttth,7220204,1,8,6
D01,7.5,,8.0,8.6,,,,,,,ttth,7220204,1,8,7
A01,,,7.4,7.4,,,,8.0,,,ttth,7220204,1,8,8
D01,8.0,,9.0,7.4,,,,,,,ttth,7220204,1,8,9
D01,9.0,,7.8,8.0,,,,,,,ttth,7220204,1,8,10
D01,7.0,,9.4,7.0,,,,,,,ttth,7220204,1,8,11
