SBD,ma_nganh,to_hop_thi,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,ma_nhom
2035029,7540101,B00,,,,8.25,,,,,8.25,8.0,4
2075656,7380107,A00,,,,8.0,,,,7.5,6.5,,5
2040618,7510202,D01,8.0,,4.8,7.0,,,,,,,3
2042637,7810202,D01,7.8,,7.2,5.75,,,,,,,2
42010058,7340201,A01,,,7.6,8.0,,,,8.0,,,1
2071171,7340101,A00,,,,6.5,,,,8.0,7.0,,1
44013108,7340115,A00,,,,8.0,,,,8.25,7.0,,1
53001416,7340301,A00,,,,6.75,,,,8.25,6.4,,1
53000363,7510303,D01,8.5,,6.0,6.8,,,,,,,3
47000100,7340301,D01,8.6,,7.2,7.5,,,,,,,1
53003134,7540204,D01,5.4,,5.8,8.0,,,,,,,3
51007299,7420201,B00,,,,7.25,,,,,6.75,7.6,4
2018140,7340201,A01,,,8.8,7.0,,,,7.25,,,1
50011713,7480201,A00,,,,8.0,,,,8.0,7.4,,0
49010421,7340201,A00,,,,6.25,,,,8.0,7.2,,1
49001646,7460108,D01,5.4,,7.2,6.5,,,,,,,0
2044316,7510303,A00,,,,7.0,,,,7.75,7.6,,3
47000190,7480202,D01,6.5,,6.6,6.6,,,,,,,0
30002695,7220204,D01,5.4,,8.0,8.5,,,,,,,6
38006588,7220204,D09,,,9.2,7.4,,,7.0,,,,6
53006409,7340122,A00,,,,6.5,,,,8.5,6.6,,1
28000618,7380107,D01,5.0,,8.6,8.25,,,,,,,5
53003791,7340101,D01,7.0,,8.4,8.6,,,,,,,1
2062741,7340201,D01,6.0,,7.8,7.0,,,,,,,1
47000158,7220201,D01,7.2,,6.2,7.5,,,,,,,6
42011198,7340120,D01,7.8,,7.4,8.75,,,,,,,1
35010633,7340101,A00,,,,6.75,,,,9.0,7.8,,1
2064927,7510303,A01,,,7.8,6.5,,,,7.0,,,3
44002618,7480201,A00,,,,6.5,,,,7.25,7.0,,0
48012628,7480201,D01,8.6,,8.0,7.5,,,,,,,0
2032737,7480201,A01,,,7.2,6.5,,,,7.2,,,0
2073015,7480201,A01,,,8.2,8.0,,,,7.25,,,0
2069444,7810201,D01,9.2,,7.2,7.0,,,,,,,2
41012660,7340101,A00,,,,7.0,,,,7.75,7.2,,1
2054177,7480201,D01,8.0,,8.8,8.6,,,,,,,0
46001849,7810202,D01,4.4,,7.0,6.75,,,,,,,2
53013193,7540101,A00,,,,7.5,,,,8.0,7.8,,4
45003845,7340120,D01,7.5,,8.2,7.6,,,,,,,1
51014856,7810201,A00,,,,6.75,,,,7.0,6.4,,2
40002957,7480201,A00,,,,8.25,,,,7.25,8.2,,0
2006811,7810103,D01,5.6,,7.0,6.0,,,,,,,2
37017631,7480201,A00,,,,7.8,,,,7.75,7.75,,0
43001182,7220201,A01,,,8.6,8.6,,,,7.75,,,6
15005387,7340115,D01,8.8,,6.2,9.0,,,,,,,1
43005714,7220201,A01,,,9.2,7.4,,,,7.25,,,6
52002369,7380107,D01,7.75,,7.2,7.4,,,,,,,5
54009349,7380107,A00,,,,8.6,,,,7.25,8.0,,5
56006283,7510401,A00,,,,7.0,,,,6.75,7.5,,3
37009547,7340101,D01,7.25,,8.0,8.2,,,,,,,1
49002344,7480201,A00,,,,7.25,,,,8.25,8.0,,0
2066151,7480201,D01,7.0,,8.2,7.4,,,,,,,0
54010378,7340101,D01,8.6,,7.8,8.5,,,,,,,1
37006329,7340120,A01,,,7.6,8.5,,,,7.6,,,1
37006813,7480202,D07,,,7.8,6.75,,,,,8.4,,0
48009302,7340301,A00,,,,7.75,,,,7.5,8.0,,1
40019293,7380107,A01,,,8.0,6.75,,,,7.4,,,5
49011916,7340129,D01,6.75,,6.6,7.4,,,,,,,4
2057807,7340115,A00,,,,7.75,,,,7.5,7.8,,1
40005110,7340201,A01,,,7.2,7.5,,,,7.2,,,1
2078663,7510303,A00,,,,7.4,,,,7.5,6.75,,3
37012878,7540204,D01,6.5,,5.6,5.0,,,,,,,3
2049919,7850101,D07,,,6.2,7.4,,,,,4.25,,4
46001508,7340115,A00,,,,8.25,,,,8.0,7.6,,1
42012392,7810103,D01,8.25,,8.0,7.4,,,,,,,2
35010138,7340115,A00,,,,7.0,,,,7.5,7.6,,1
4009335,7340115,D01,8.6,,7.6,6.75,,,,,,,1
51011362,7810103,A00,,,,8.4,,,,7.5,7.75,,2
2028378,7510406,A00,,,,7.0,,,,6.25,6.25,,4
2022406,7340101,A01,,,7.4,7.5,,,,9.0,,,1
53013734,7340122,D01,7.8,,7.2,8.0,,,,,,,1
2052637,7420201,A01,,,8.0,8.0,,,,8.0,,,4
37012264,7510203,D01,6.25,,7.0,6.4,,,,,,,3
54012217,7510401,A00,,,,6.6,,,,6.25,7.75,,3
52010201,7340115,A00,,,,7.75,,,,8.0,7.6,,1
37000736,7340115,A00,,,,8.8,,,,7.5,8.0,,1
2066452,7480202,D01,6.0,,9.4,7.8,,,,,,,0
2066139,7340301,A01,,,8.0,7.25,,,,7.2,,,1
2024689,7340101,A00,,,,7.75,,,,7.0,7.8,,1
37012024,7480201,A00,,,,7.8,,,,6.75,8.0,,0
35013246,7340301,A00,,,,8.25,,,,7.25,7.6,,1
35009653,7220204,D01,8.25,,8.0,8.2,,,,,,,6
52000713,7540106,D07,,,7.6,7.6,,,,,7.5,,4
2071661,7510303,A00,,,,6.5,,,,7.25,6.6,,3
37017044,7340115,D01,7.6,,8.4,8.75,,,,,,,1
2067489,7850101,A00,,,,7.6,,,,6.0,8.5,,4
47011124,7380107,D01,6.8,,8.2,7.75,,,,,,,5
51006866,7420201,A00,,,,6.75,,,,7.25,6.4,,4
48021750,7540101,D07,,,6.8,7.0,,,,,8.2,,4
46009583,7810201,A01,,,7.0,7.5,,,,7.8,,,2
41001156,7480201,D07,,,8.2,8.25,,,,,8.6,,0
35010278,7340101,A00,,,,6.25,,,,7.5,6.8,,1
2038721,7510203,D01,5.75,,7.4,7.0,,,,,,,3
53010130,7340129,A00,,,,7.0,,,,7.75,7.2,,4
2035621,7510303,A01,,,7.4,7.5,,,,7.0,,,3
2006233,7510301,D01,5.8,,7.2,6.25,,,,,,,3
2066476,7510401,A00,,,,6.4,,,,7.5,7.25,,3
